month-year,rsi-3-SPXL->-23-1-ERY
2019-11,[1.46340736e+02 8.09523810e-01 1.66018095e+03 1.05323854e+00]
2019-12,[ -91.71425779    0.75       -605.12689526    0.87242979]
2020-01,[6.97295882e+03 9.04761905e-01 1.21268849e+05 1.27766032e+00]
2020-02,[2.33074224e+03 7.00000000e-01 4.82882111e+04 1.19105248e+00]
2020-03,[9.75452972e+11 7.61904762e-01 9.75452972e+17 3.75596434e+00]
2020-04,[ -99.99984313    1.         -186.39114492    0.46349467]
2020-05,[ -53.09082259    0.85714286 -529.25872394    0.95738378]
2020-06,[2.78814139e+02 7.14285714e-01 8.31743302e+02 1.07964087e+00]
2020-07,[ -3.15512725   1.         -31.42992149   0.9980695 ]
2020-08,[ -51.01388711    0.95238095 -412.09655685    0.95977312]
2020-09,[5.23488838e+03 7.61904762e-01 5.23488838e+09 1.25709719e+00]
2020-10,[ -15.46494488    0.73913043 -141.26122507    0.98946929]
2020-11,[ -99.99567578    0.84210526 -223.22903712    0.59269062]
2020-12,[ -22.77327725    0.77272727 -157.25628318    0.9845444 ]
2021-01,[ -91.05334464    0.9        -331.90412724    0.87610619]
2021-02,[ -97.41344777    0.68421053 -361.39850927    0.82675062]
2021-03,[ -47.68187127    0.77272727 -348.7612752     0.96170539]
2021-04,[3.25560851e+01 8.09523810e-01 3.25560851e+07 1.01634738e+00]
2021-05,[ -53.27216164    0.66666667 -432.59918683    0.95717046]
2021-06,[ -88.34082456    0.71428571 -496.00788185    0.88369305]
2021-07,[1.23109960e+02 7.27272727e-01 2.20059054e+03 1.04955843e+00]
2021-08,[ -48.38634642    0.85714286 -793.72676642    0.96266266]
2021-09,[-4.20250320e+01  6.19047619e-01 -1.36097967e+03  9.69121484e-01]
2021-10,[ -92.18782615    0.81818182 -507.13804134    0.85755694]
2021-11,[2.73984408e+02 7.00000000e-01 4.97738340e+03 1.07495240e+00]
2021-12,[ 50.31203493   0.77272727 731.82601453   1.02486843]
2022-01,[-9.29272631e+01  2.50000000e-01 -6.87818297e+02  8.64895622e-01]
2022-02,[ -98.20345292    0.63157895 -520.18255483    0.81121348]
2022-03,[ -99.83750197    0.69565217 -288.63224699    0.66718339]
2022-04,[7.33151308e+02 4.76190476e-01 7.33151308e+08 1.12972608e+00]
2022-05,[-8.35076672e+01  6.50000000e-01 -7.16423691e+02  9.05964849e-01]
2022-06,[ 62.15700356   0.71428571 574.95228291   1.02820212]
2022-07,[-8.94125116e+01  6.19047619e-01 -7.37753459e+02  8.78804348e-01]
2022-08,[1.24568077e+02 5.90909091e-01 2.35433666e+04 1.04997061e+00]
2022-09,[4.73695566e+01 3.80952381e-01 4.85537955e+02 1.02256098e+00]
2022-10,[ -99.86584197    0.57142857 -315.53356454    0.68350168]
2022-11,[8.81565779e+01 5.23809524e-01 2.38022760e+03 1.03703704e+00]
2022-12,[-6.49460756e+01  4.54545455e-01 -1.06070042e+03  9.38770576e-01]
2023-01,[ -49.0396712     0.52631579 -462.62725966    0.96551724]
2023-02,[1.01101905e+02 3.68421053e-01 1.01101905e+08 1.03703704e+00]
2023-03,[7.41113896e+01 5.65217391e-01 3.22384545e+04 1.03556034e+00]
2023-04,[-9.17746617e+01  4.00000000e-01 -7.11253628e+02  8.72080089e-01]
2023-05,[2.82130767e+03 3.80952381e-01 2.82130767e+09 1.21428571e+00]
2023-06,[-7.99218149e+01  6.66666667e-01 -6.79335427e+02  9.11764706e-01]
2023-07,[-7.16096221e+01  5.00000000e-01 -1.07414433e+03  9.33333333e-01]
2023-08,[0.         0.26086957 0.         1.        ]
2023-09,[-5.08122286e+01  3.33333333e-01 -6.35152858e+02  9.60000000e-01]
2023-10,[-7.58628968e+01  2.38095238e-01 -6.73413112e+02  9.21474359e-01]
2023-11,[3.77475828e-13 4.76190476e-01 1.01918474e-11 1.00000000e+00]
