branch,back_cagr,back_days_in_market,back_calmar,back_gross_return_percent,forward_cagr,forward_days_in_market,forward_calmar,forward_gross_return_percent
rsi-7-SPXL-<-81-1-ERY,272.6073863929725,0.47666948225655165,122109026.79980804,-84.29689490565998,408.90729099563066,0.7041209625796092,153139117.56447014,-69.7968161876283
rsi-7-SPXL-<-99-1-ERY,272.6073863929725,0.47666948225655165,122109026.79980804,-84.29689490565998,553.1569476402468,0.7100277750653691,153143901.0134232,-68.60637632926954
rsi-7-SPXL-<-82-1-ERY,272.6073863929725,0.47666948225655165,122109026.79980804,-84.29689490565998,408.90729099563066,0.7041209625796092,153139117.56447014,-69.7968161876283
rsi-7-SPXL-<-83-1-ERY,272.6073863929725,0.47666948225655165,122109026.79980804,-84.29689490565998,408.90729099563066,0.7041209625796092,153139117.56447014,-69.7968161876283
rsi-7-SPXL-<-84-1-ERY,272.6073863929725,0.47666948225655165,122109026.79980804,-84.29689490565998,409.3049340869512,0.7063936898523364,153139116.0748279,-68.52322793006323
rsi-7-SPXL-<-98-1-ERY,272.6073863929725,0.47666948225655165,122109026.79980804,-84.29689490565998,553.1569476402468,0.7100277750653691,153143901.0134232,-68.60637632926954
rsi-7-SPXL-<-85-1-ERY,272.6073863929725,0.47666948225655165,122109026.79980804,-84.29689490565998,409.3049340869512,0.7063936898523364,153139116.0748279,-68.52322793006323
rsi-7-SPXL-<-86-1-ERY,272.6073863929725,0.47666948225655165,122109026.79980804,-84.29689490565998,409.2869927495039,0.7087746422332888,153139117.3374231,-70.09314174901269
rsi-7-SPXL-<-97-1-ERY,272.6073863929725,0.47666948225655165,122109026.79980804,-84.29689490565998,553.1569476402468,0.7100277750653691,153143901.0134232,-68.60637632926954
rsi-7-SPXL-<-88-1-ERY,272.6073863929725,0.47666948225655165,122109026.79980804,-84.29689490565998,553.1569476402468,0.7100277750653691,153143901.0134232,-68.60637632926954
rsi-7-SPXL-<-89-1-ERY,272.6073863929725,0.47666948225655165,122109026.79980804,-84.29689490565998,553.1569476402468,0.7100277750653691,153143901.0134232,-68.60637632926954
rsi-7-SPXL-<-90-1-ERY,272.6073863929725,0.47666948225655165,122109026.79980804,-84.29689490565998,553.1569476402468,0.7100277750653691,153143901.0134232,-68.60637632926954
rsi-7-SPXL-<-96-1-ERY,272.6073863929725,0.47666948225655165,122109026.79980804,-84.29689490565998,553.1569476402468,0.7100277750653691,153143901.0134232,-68.60637632926954
rsi-7-SPXL-<-91-1-ERY,272.6073863929725,0.47666948225655165,122109026.79980804,-84.29689490565998,553.1569476402468,0.7100277750653691,153143901.0134232,-68.60637632926954
rsi-7-SPXL-<-92-1-ERY,272.6073863929725,0.47666948225655165,122109026.79980804,-84.29689490565998,553.1569476402468,0.7100277750653691,153143901.0134232,-68.60637632926954
rsi-7-SPXL-<-95-1-ERY,272.6073863929725,0.47666948225655165,122109026.79980804,-84.29689490565998,553.1569476402468,0.7100277750653691,153143901.0134232,-68.60637632926954
rsi-7-SPXL-<-93-1-ERY,272.6073863929725,0.47666948225655165,122109026.79980804,-84.29689490565998,553.1569476402468,0.7100277750653691,153143901.0134232,-68.60637632926954
rsi-7-SPXL-<-94-1-ERY,272.6073863929725,0.47666948225655165,122109026.79980804,-84.29689490565998,553.1569476402468,0.7100277750653691,153143901.0134232,-68.60637632926954
