date,trade_returns_day
2011-08-05,0.793205317577548
2011-08-06,1.0
2011-08-09,0.7528301886792453
2011-08-10,1.1403508771929824
2011-08-11,0.8945054945054945
2011-08-12,1.1474201474201475
2011-08-13,1.0235546038543897
2011-08-16,1.0
2011-08-17,1.0
2011-08-18,1.0
2011-08-19,1.0
2011-08-20,1.0
2011-08-23,0.9774436090225563
2011-08-24,1.1358974358974359
2011-08-25,1.0
2011-08-26,1.0
2011-08-27,1.0
2011-08-30,1.0
2011-08-31,1.0
2011-09-01,1.0
2011-09-02,1.0
2011-09-03,1.0
2011-09-07,1.0
2011-09-08,1.0
2011-09-09,1.0
2011-09-10,1.0
2011-09-13,1.0
2011-09-14,1.0
2011-09-15,1.0
2011-09-16,1.0
2011-09-17,1.0
2011-09-20,1.0
2011-09-21,1.0
2011-09-22,1.0
2011-09-23,1.0
2011-09-24,0.9720496894409938
2011-09-27,1.1086261980830672
2011-09-28,1.0
2011-09-29,1.0
2011-09-30,1.0
2011-10-01,1.0
2011-10-04,0.8949044585987261
2011-10-05,1.085409252669039
2011-10-06,1.0
2011-10-07,1.0
2011-10-08,1.0
2011-10-11,1.0
2011-10-12,1.0
2011-10-13,1.0
2011-10-14,1.0
2011-10-15,1.0
2011-10-18,1.0
2011-10-19,1.0
2011-10-20,1.0
2011-10-21,1.0
2011-10-22,1.0
2011-10-25,1.0
2011-10-26,1.0
2011-10-27,1.065217391304348
2011-10-28,1.1183673469387756
2011-10-29,1.0
2011-11-01,1.0
2011-11-02,1.0
2011-11-03,1.0844748858447488
2011-11-04,1.071578947368421
2011-11-05,1.0
2011-11-08,1.0
2011-11-09,1.0
2011-11-10,1.0
2011-11-11,1.0485232067510548
2011-11-12,1.0543259557344065
2011-11-15,1.0
2011-11-16,1.0
2011-11-17,1.0
2011-11-18,0.9320987654320988
2011-11-19,0.9867549668874173
2011-11-22,1.0
2011-11-23,1.0
2011-11-24,1.0
2011-11-26,1.0
2011-11-29,1.0
2011-11-30,1.0
2011-12-01,1.0
2011-12-02,1.0
2011-12-03,1.0
2011-12-06,1.0
2011-12-07,1.0
2011-12-08,1.0
2011-12-09,1.0
2011-12-10,1.0662251655629138
2011-12-13,0.9316770186335404
2011-12-14,0.9777777777777777
2011-12-15,0.9159090909090909
2011-12-16,1.0
2011-12-17,1.0
2011-12-20,1.0
2011-12-21,1.0
2011-12-22,1.0
2011-12-23,1.0
2011-12-24,1.0
2011-12-28,1.0
2011-12-29,1.0
2011-12-30,1.0307692307692307
2011-12-31,0.997867803837953
2012-01-04,1.0
2012-01-05,1.0
2012-01-06,1.0
2012-01-07,1.0
2012-01-10,1.0
2012-01-11,1.0
2012-01-12,1.0
2012-01-13,1.0
2012-01-14,1.0
2012-01-18,1.0
2012-01-19,1.0
2012-01-20,1.0
2012-01-21,1.0
2012-01-24,1.0
2012-01-25,1.0
2012-01-26,1.0
2012-01-27,1.0
2012-01-28,0.9921568627450981
2012-01-31,0.9841897233201581
